2020-05-10 10:06:08.627 | INFO     | logout:info:26 - 进入了获取数据接口
2020-05-10 15:57:00.299 | INFO     | logout:info:26 - 拿到body数据，判断body数据类型为123
2020-05-10 15:57:24.919 | INFO     | logout:info:26 - 拿到body数据，判断body数据类型为<class 'bytes'>
2020-05-10 15:58:43.901 | INFO     | logout:info:26 - 拿到body数据，判断body数据类型为<class 'bytes'>
2020-05-10 15:59:51.880 | INFO     | logout:info:26 - 拿到body数据，判断body数据类型为<class 'bytes'>
2020-05-10 15:59:52.033 | INFO     | logout:info:26 - 入参<tr><th><label for="id_task_id">Task id:</label></th><td><input type="number" name="task_id" value="1" required id="id_task_id"></td></tr>
<tr><th><label for="id_interface_id">Interface id:</label></th><td><ul class="errorlist"><li>This field is required.</li></ul><input type="number" name="interface_id" required id="id_interface_id"></td></tr>
2020-05-10 16:00:49.395 | INFO     | logout:info:26 - 拿到body数据，判断body数据类型为<class 'bytes'>
2020-05-10 16:00:49.408 | INFO     | logout:info:26 - 入参<tr><th><label for="id_task_id">Task id:</label></th><td><input type="number" name="task_id" value="1" required id="id_task_id"></td></tr>
<tr><th><label for="id_interface_id">Interface id:</label></th><td><ul class="errorlist"><li>This field is required.</li></ul><input type="number" name="interface_id" required id="id_interface_id"></td></tr>
2020-05-10 16:01:40.085 | INFO     | logout:info:26 - 拿到body数据，判断body数据类型为<class 'bytes'>
2020-05-10 16:01:40.100 | INFO     | logout:info:26 - 入参<tr><th><label for="id_task_id">Task id:</label></th><td><input type="number" name="task_id" value="1" required id="id_task_id"></td></tr>
<tr><th><label for="id_interface_id">Interface id:</label></th><td><input type="number" name="interface_id" value="1" required id="id_interface_id"></td></tr>
2020-05-10 16:03:34.284 | INFO     | logout:info:26 - 根据任务ID0,获取接口：<QuerySet []>
2020-05-10 16:04:09.229 | INFO     | logout:info:26 - 根据任务ID1,获取接口：<QuerySet [<TaskInterface: TaskInterface object (1)>]>
2020-05-10 16:04:14.855 | INFO     | logout:info:26 - 根据任务ID2,获取接口：<QuerySet []>
2020-05-10 16:20:17.484 | INFO     | logout:info:26 - 拿到GET数据，判断获取的数据类型为<QueryDict: {'task_id': ['1']}>
2020-05-10 16:35:26.663 | INFO     | logout:info:26 - 进入了获取数据接口
2020-05-10 16:35:31.023 | INFO     | logout:info:26 - 进入了获取数据接口
2020-05-10 16:51:35.192 | INFO     | logout:info:26 - 123
2020-05-10 16:51:35.222 | INFO     | logout:info:26 - 拿到body数据，判断body数据类型为<class 'bytes'>
2020-05-10 16:51:43.193 | INFO     | logout:info:26 - 123
2020-05-10 16:51:43.223 | INFO     | logout:info:26 - 拿到body数据，判断body数据类型为<class 'bytes'>
2020-05-10 16:52:16.816 | INFO     | logout:info:26 - 123
2020-05-10 16:52:16.820 | INFO     | logout:info:26 - 拿到body数据，判断body数据类型为<class 'bytes'>
2020-05-10 16:54:02.538 | INFO     | logout:info:26 - 123
2020-05-10 16:54:02.543 | INFO     | logout:info:26 - 拿到body数据，判断body数据类型为<class 'bytes'>
2020-05-10 16:54:02.549 | INFO     | logout:info:26 - 获取传入的context值{"url":"http://www.baidu.com","method":"GET","payload":"","assert":"测试"},类型为<class 'str'>
2020-05-10 16:55:38.218 | INFO     | logout:info:26 - 123
2020-05-10 16:55:38.223 | INFO     | logout:info:26 - 拿到body数据，判断body数据类型为<class 'bytes'>
2020-05-10 16:55:38.231 | INFO     | logout:info:26 - 获取传入的context值{"url":"http://www.baidu.com","method":"GET","payload":"","assert":"测试"},类型为<class 'str'>
2020-05-10 16:55:38.317 | INFO     | logout:info:26 - 入参<tr><th><label for="id_name">Name:</label></th><td><input type="text" name="name" value="测试" maxlength="200" minlength="1" required id="id_name"></td></tr>
<tr><th><label for="id_description">Description:</label></th><td><input type="text" name="description" value="123213" maxlength="2000" minlength="1" required id="id_description"></td></tr>
<tr><th><label for="id_service_id">Service id:</label></th><td><ul class="errorlist"><li>This field is required.</li></ul><input type="number" name="service_id" required id="id_service_id"></td></tr>
